,DHSCLUST,DHSREGNA,LATNUM,LONGNUM,geometry,elementary_access,improved_access,limited_access,other
199,1017,Maputo Province,-25.2526209463,32.8732092625,POINT (32.87320926200005 -25.25262094599998),,26.0,2.0,
200,1018,Maputo Province,-25.7781510772,32.6084291515,POINT (32.60842915100005 -25.77815107699996),3.0,23.0,,
201,1019,Maputo Province,-25.6332587321,32.6785624985,POINT (32.67856249800008 -25.63325873199994),,25.0,,
202,1020,Maputo Province,-26.836839023,32.8809275524,POINT (32.88092755200006 -26.83683902299998),7.0,19.0,,
203,1021,Maputo Province,-25.9974774197,32.1696406529,POINT (32.16964065300004 -25.99747741999994),22.0,2.0,2.0,
204,1101,Maputo City,-25.959288168,32.5814889603,POINT (32.58148896000006 -25.95928816799994),,23.0,,
205,1102,Maputo City,-25.9548492465,32.5774862825,POINT (32.57748628200005 -25.95484924599998),1.0,22.0,,
206,1103,Maputo City,-25.9404332272,32.570389758,POINT (32.57038975800003 -25.94043322699997),,25.0,,
207,1104,Maputo City,-25.9435654788,32.5527960571,POINT (32.55279605700002 -25.94356547899997),,26.0,,
208,1105,Maputo City,-25.9273130054,32.560664992,POINT (32.56066499200006 -25.92731300499997),,28.0,,
209,1106,Maputo City,-25.9278190941,32.5836520243,POINT (32.58365202400006 -25.92781909399997),1.0,26.0,,
210,1109,Maputo City,-25.9269007797,32.5791905395,POINT (32.57919053900002 -25.92690077999998),,28.0,,
211,1110,Maputo City,-25.9215426592,32.6172523266,POINT (32.61725232700007 -25.92154265899995),2.0,26.0,,
212,1111,Maputo City,-25.9267959554,32.5782522875,POINT (32.57825228700005 -25.92679595499993),1.0,24.0,,
213,1112,Maputo City,-25.9267202325,32.5923814236,POINT (32.59238142400005 -25.92672023199998),,26.0,,
214,1114,Maputo City,-25.9113588862,32.6168144109,POINT (32.61681441100006 -25.91135888599996),1.0,27.0,,
215,1115,Maputo City,-25.8789211123,32.5691225175,POINT (32.56912251700004 -25.87892111199994),1.0,28.0,,
216,1116,Maputo City,-25.9285565198,32.5374597882,POINT (32.53745978800004 -25.92855651999997),,24.0,,
217,1117,Maputo City,-25.8550326494,32.5962224868,POINT (32.59622248700003 -25.85503264899995),,27.0,,
218,1118,Maputo City,-25.9002996457,32.5646113349,POINT (32.56461133500005 -25.90029964599995),,27.0,,
219,1119,Maputo City,-25.8611409817,32.6046408611,POINT (32.60464086100006 -25.86114098199994),1.0,25.0,,
220,1120,Maputo City,-25.992364957,32.5280701283,POINT (32.52807012800002 -25.99236495699995),3.0,25.0,,
